Location,Company,Position Title,Link to Job,Technologies Used,Enthusiasm,Industry
Los Angeles,Veriton,Senior Software Engineer,https://angel.co/veritone/jobs/241444-senior-software-engineer,"Javascript, Node.js, PostgreSQL, AgularJS, Go",2,Subscription
Los Angeles,TestMax,Full Stack Web Developer,https://angel.co/testmax/jobs,Full-Stack Developer · Javascript · HTML · CSS · SQL · Ruby on Rails,3,Education
Los Angeles,Earny,Full-Stack Developer,https://angel.co/earny/jobs,Full-Stack Developer,3,Mobile
Los Angeles,Originate,Senior Software Engineer,https://angel.co/originate/jobs,Full Time · Remote OK · Los Angeles · Software Engineer · Backend Developer · Full-Stack Developer · Software Engineering · Javascript · Haskell · Android · Node.js · iOS Development · Agile Software Develoment · Scala · TDD · Ruby on Rails,2,Subscription
Los Angeles,Maestro.io,Senior Sofware Engineer,https://angel.co/maestro/jobs/142196-senior-software-engineer,Full Time · Los Angeles · Full-Stack Developer · jQuery · Node.js · Coffeescript · Git · Firebase,2,Subscription
Los Angeles,Realty Mogul,Full-Stack Developer,https://angel.co/realty-mogul/jobs/246783-full-stack-developer,Fullstack Develper,2,Commerce
Los Angeles,FabFitFun,Senior Sofware Engineer,https://angel.co/fabfitfun/jobs/194366-senior-software-engineer,Software Engineer · Mobile Developer · Backend Developer,2,Subscription
Los Angeles,Mend,Full-Stack Developer,https://angel.co/mend/jobs/237438-full-stack-developer,iOS Development · Full Stack Development · API · REST APIs · Ruby on Rails · Objective-C,3,Mobile
Los Angeles,Clutter,Full-Rails-Engineer,https://angel.co/clutter/jobs/97195-senior-rails-engineer,Full-Stack Developer,3,Subscription
Los Angeles,Cyber Coders,Full-Stack Javascript ,http://www.careerbuilder.com/job/J3G3S95YW802CP7VMZL?ipath=JRG2&searchid=7475724f-101d-4edd-bcf5-843df2d34b0b&siteid=cbnsv,"Node.js, JavaScript, REACT, Express, MongoDB",2,x
Los Angeles,Advantage Solutions,Software Engineer,http://www.careerbuilder.com/job/J3F4HJ62LPRJ3BP00QD?ipath=JRG13&searchid=7475724f-101d-4edd-bcf5-843df2d34b0b&siteid=cbnsv,.NetC#HTMLJavaScriptCSSMVCVisual Studio AngularJQueryT-SQLBootstrapREST,2,Marketing
Los Angeles,CyberCoders,Mobile Gaming Back End Developer,http://www.careerbuilder.com/job/J3L1HP79LV3PGR9JSN4?ipath=JRG24&searchid=7475724f-101d-4edd-bcf5-843df2d34b0b&siteid=cbnsv,"Java, C#, C++",3,x
Los Angeles,American Express,Sr. UI Engineer,http://www.careerbuilder.com/job/JHM7GY6J7SP3Y2QB6CC?ipath=JRG25&searchid=7475724f-101d-4edd-bcf5-843df2d34b0b&siteid=cbnsv,React.js,2,x
Los Angeles,CyberCoders,Lead Developer,http://www.careerbuilder.com/job/J3K80N704PB7W2DT01Z?ipath=JRG27&searchid=e31eccef-3ece-4947-91d0-1eb986c51411&siteid=cbnsv,"Node.js, React.js, Firebase, Docker, AWS",2,Professional Services
Los Angeles,Feedonomics,Senior Full Stack Developer,https://www.indeed.com/cmp/Feedonomics/jobs/Senior-Full-Stack-Developer-4b7008f86410cba2?q=full+stack+developer,PHP MySQL,2,x
Los Angeles,SpaceX,FRONT END SOFTWARE ENGINEER,http://jobs.jobvite.com/careers/spacex/job/oEBE5fwI?__jvst=Job%20Board&__jvsd=Indeed,"Development experience in JavaScript, C++, or Python.",2,Explore
Los Angeles,Galvanize Recruiting Inc -,Full-Stack Developer,https://www.indeed.com/cmp/Galvanize-Recruiting-Inc/jobs/Full-Stack-Developer-31404e4d4f26d6e2?q=full+stack+developer,"Java, C/C++, Python, JUnit and/or TestNG Node, Vanilla, Bootstrap, etc",2,Recruiting
Los Angeles,Boof Tech LLC,Full-Stack Web Developer,https://www.indeed.com/cmp/Boof-Tech-LLC/jobs/Full-Stack-Web-Developer-94d8696ca8294118?sjdu=QwrRXKrqZ3CNX5W-O9jEvRQls7y2xdBHzhqWkvhd5FFrypYnQCmmKCiTkZsuRlZdLUs9qm1dAzC5eSnCC63Kp-FTLOgLXO26GGCX8VIkkOM,Full stack development (Front end AND Back end),2,x
Los Angeles,TrueCar,Software Engineer (Full Stack),https://truecar.wd1.myworkdayjobs.com/en-US/Careers/job/Santa-Monica-Offices/Software-Engineer--Full-Stack-_JR17-406-1,Deep understanding of RESTful API design,2,Commerce
Los Angeles,ChowNow,Principal Full Stack Engineer,https://www.indeed.com/cmp/ChowNow/jobs/Principal-Full-Stack-Engineer-7b51a84dcc1ff713?q=full+stack+developer,"Our Python-powered RESTful APIs enable several platforms and are built with MySQL , Elasticsearch and Redis.",2,Mobile
Los Angeles,Open Table,Senior Full Stack Web Developer,https://www.opentable.com/careers/technology/?p=job/oOnC5fwC&__jvst=Job%20Board&__jvsd=Indeed&nl=1,"Deep experience with Angular2, HTML5, CSS/Sass. Familiarity with Node.Js a plus.",2,Mobile
Los Angeles,Nordstromrack.com,Senior Software Engineer (Omnichannel)-285180,https://nordstrom.taleo.net/careersection/2/jobdetail.ftl?job=1460146&src=JB-10422,"Angular, React, Ember, Backbone.",3,Commerce
Los Angeles,"AdLibertas, Inc",Senior Full Stack Developer,https://www.indeed.com/viewjob?jk=e20ad673388b4384&q=full+stack+developer&l=Los+Angeles%2C+CA&tk=1blbujg1u1fh144c&from=web,"avaScript, HTML, CSS and JQuery  experience as a Ruby on Rails developer",3,Subscription
Los Angeles,merQbiz,Full-Stack Developer,https://jobs.lever.co/bcg/e6c25219-784f-445c-b953-0ebf5555eda3?lever-source=Indeed,"Experience with UAT, platform orchestration, RESTFUL APIs, Rancher, Drone, and AWS architecture + services",1,Commerce
Los Angeles,MedMen,Full Stack Software Developer (Mid-Level),https://www.indeed.com/cmp/MedMen/jobs/Full-Stack-Software-Developer-2453148059943b2b?sjdu=QwrRXKrqZ3CNX5W-O9jEvRQls7y2xdBHzhqWkvhd5FFfs8wS9wesfMWXjNNFaUXe1NJNWj0rjduYXKhBpowK_5LBRlx3TZfT0MoFLls055foIuOz0yJmA9DFsAeXMANf,"Develop new functionality front-end and back-end functionality using PYTHON , DJANGO , Javascript, HTML, and/or CSS",2,Commerce
Los Angeles,Icon Media Direct,Software Developer,https://www.indeed.com/cmp/Icon-Media-Direct/jobs/Software-Developer-6e57aec76912a924?sjdu=QwrRXKrqZ3CNX5W-O9jEvRFd8FQI4DEv5V74lSpSnHaeMQWSz8pBuVJLdfy8zErJSlIUE1b6q0e2kCj_H1S5bA,"5+ years of progressive software development experience using C#, SQL and .NET with a track record of shipping product.",2,marketing
Los Angeles,CBS ,Full Stack Engineer,http://cbscorporation.jobs/burbank-ca/full-stack-engineer/F8106CB3D923488286F6D0E5CF98F2B8/job/?utm_campaign=Indeed&vs=1554&utm_medium=Job%20Aggregator&utm_source=Indeed-DE,"Expert in PHP, MySQL, UI Frameworks and development tools",1,x
Los Angeles,RealtyMogul.com,Full Stack Developer,https://www.indeed.com/viewjob?jk=9e57b589c19b08e5&q=full+stack+developer&l=Los+Angeles%2C+CA&tk=1blbut8vr1fh103e&from=web,"n Javascript, HTML, CSS, SASS",2,Commerce
Los Angeles,alliancedata,"Engineer, Software",https://alliancedata.taleo.net/careersection/epsilon/jobdetail.ftl?job=0087815&tz=GMT-05:00,"Programming experience in one or more of the following languages: Python, Java, JavaScript, C++, BASH, NodeJS",3,x